,HFID,NAME,ADDRESS,CITY,STATE,ZIP,COUNTY_CODE,COUNTY_NAME,TELEPHONE,FAX,ADMINISTRATOR,LIC_TYPE,HOSP_BEDS,BASS_BEDS,PSY_HOSP_BEDS,NH_BEDS,BCH_BEDS,SLFA_BEDS,SLFB_BEDS,OTHER_BEDS,HCP_TYPE,HWS,HWS_TYPE,OPS,HOSP18_BEDS,CAH,DEEMED,SWING,PSY18_BEDS,SNF_BEDS,SNFNF_BEDS,NF1_BEDS,NF2_BEDS,ICFMR_BEDS,HHA,HOSPICE,CMHC,CORF,ESRD,ASC,PPSP,PPSR,REHAP,RHC,XRAY,BLSS,MOBHES,BC,ICFMR,HCBS_PRV,SE_PRV,SNSA_PRV,LATITUDE,LONGITUDE
0,233,MN VETERANS HOME MINNEAPOLIS,5101 MINNEHAHA AVENUE SOUTH,MINNEAPOLIS,MN,55417,27,HENNEPIN,651-539-2401,651-437-2203,THOMAS PAUL,STATE,0,0,0,341,50,0,0,0,,,,,0,,,,0,0,300,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9195968,-93.2149687
1,238,NORTH RIDGE HEALTH AND REHAB,5430 BOONE AVENUE NORTH,NEW HOPE,MN,55428,27,HENNEPIN,763-592-3000,763-592-2999,MS. JULIE SPIERS,LIMITED LIABILITY COMPANY,0,0,0,320,0,0,0,0,,,,,0,,,,0,0,320,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0516306072982,-93.3905486521898
2,276,WALKER METHODIST HEALTH CTR,3737 BRYANT AVENUE SOUTH,MINNEAPOLIS,MN,55409,27,HENNEPIN,612-827-5931,612-827-8458,MR. SCOTT KALLSTROM,NONPROFIT CORPORATION,0,0,0,260,0,0,0,0,,,,,0,,,,0,0,260,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9351966938776,-93.290659244898
5,501,LYNGBLOMSTEN CARE CENTER,1415 ALMOND AVENUE,ST. PAUL,MN,55108,62,RAMSEY,651-646-2941,651-646-8360,BRENDA JOHNSON,CHURCH RELATED,0,0,0,225,0,0,0,0,,,,,0,,,,0,0,225,0,0,0,,,,,,,,,,,,,,,,N,N,,44.97982,-93.16023
6,232,MINNESOTA MASONIC HOME CARE,11501 MASONIC HOME DRIVE,BLOOMINGTON,MN,55437,27,HENNEPIN,952-948-6901,952-948-7968,MS. BETH SCHROEDER,NONPROFIT CORPORATION,0,0,0,214,0,0,0,0,,,,,0,,,,0,0,214,0,0,0,,,,,,,,,,,,,,,,N,N,,44.7978881005703,-93.3502936148271
8,96,PROVIDENCE PLACE,3720 23RD AVENUE SOUTH,MINNEAPOLIS,MN,55407,27,HENNEPIN,612-238-2545,612-724-9884,MR. TYLER DONAHUE,NONPROFIT CORPORATION,0,0,0,190,0,0,0,0,,,,,0,,,,0,0,190,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9351986,-93.2393586610616
10,943,THE ESTATES AT ST LOUIS PARK,3201 VIRGINIA AVENUE SOUTH,ST LOUIS PARK,MN,55426,27,HENNEPIN,952-935-0333,952-935-6747,TALIA PLETCHER,LIMITED LIABILITY COMPANY,0,0,0,175,0,0,0,0,,,,,0,,,,0,0,175,0,0,0,,,,,,,,,,,,,,,,N,N,,44.94533515,-93.3821307955917
12,984,CATHOLIC ELDERCARE ON MAIN,817 MAIN STREET NE,MINNEAPOLIS,MN,55413,27,HENNEPIN,612-379-1370,612-362-2486,MS. MARIE BARTA,NONPROFIT CORPORATION,0,0,0,174,0,0,0,0,,,,,0,,,,0,0,174,0,0,0,,,,,,,,,,,,,,,,N,N,,44.995948755102,-93.2652547346939
13,261,ST. THERESE HOME,8000 BASS LAKE ROAD,NEW HOPE,MN,55428,27,HENNEPIN,763-531-5000,763-531-5004,MS. BROOKE PEOPLES,NONPROFIT CORPORATION,0,0,0,168,0,0,0,0,,,,,0,,,,0,0,168,0,0,0,,,,,,,,,,,,,,,,N,N,,45.055839,-93.382288
18,178,MOUNT OLIVET CAREVIEW HOME,5517 LYNDALE AVENUE SOUTH,MINNEAPOLIS,MN,55419,27,HENNEPIN,612-827-5677,612-821-3241,MR. TIMOTHY HOKANSON,NONPROFIT CORPORATION,0,0,0,155,0,0,0,0,,,,,0,,,,0,0,155,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9022939,-93.287905306515
20,975,PRESBYTERIAN HOMES ARDEN HILLS,3220 LAKE JOHANNA BOULEVARD,ARDEN HILLS,MN,55112,62,RAMSEY,651-631-6000,651-631-6036,CHANDLER HULKE,NONPROFIT CORPORATION,0,0,0,152,0,0,0,0,,,,,0,,,,0,0,152,0,0,0,,,,,,,,,,,,,,,,N,N,,45.03807975,-93.1761111168155
21,497,THE ESTATES AT ROSEVILLE LLC,2727 VICTORIA STREET NORTH,ROSEVILLE,MN,55113,62,RAMSEY,651-483-5431,651-486-2461,MS. JILL LUBBESMEYER,LIMITED LIABILITY COMPANY,0,0,0,150,0,0,0,0,,,,,0,,,,0,0,150,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0234097059285,-93.139318635564
23,846,RAMSEY COUNTY CARE CENTER,2000 WHITE BEAR AVENUE,MAPLEWOOD,MN,55109,62,RAMSEY,651-777-7486,651-777-1426,MR. MICHAEL SCHULTZ,COUNTY,0,0,0,142,0,0,0,0,,,,,0,,,,0,0,142,0,0,0,,,,,,,,,,,,,,,,N,N,,45.018322,-93.0197182
25,522,ST. ANTHONY HEALTH & REHAB,3700 FOSS ROAD NE,ST. ANTHONY,MN,55421,62,RAMSEY,612-788-9673,612-788-0104,MR SCOTT WILHELM,PARTNERSHIP,0,0,0,140,0,0,0,0,,,,,0,,,,0,0,140,0,0,0,,,,,,,,,,,,,,,,N,N,,45.035856,-93.210747
27,380,SHOLOM HOME WEST,3620 PHILLIPS PARKWAY,ST. LOUIS PARK,MN,55426,27,HENNEPIN,952-935-6311,952-908-1771,MS ANN THOLE,NONPROFIT CORPORATION,0,0,0,139,0,0,0,0,,,,,0,,,,0,0,139,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9387519009213,-93.393494784563
28,923,CERENITY CARE CENTER WBL,1900 WEBBER STREET,WHITE BEAR LAKE,MN,55110,62,RAMSEY,651-232-1818,651-232-1801,MR. PATRICK MCDONALD,CORPORATION,0,0,0,138,0,0,0,0,,,,,0,,,,0,0,138,0,0,0,,,,,,,,,,,,,,,,N,N,,45.081837,-93.019558
29,227,MARTIN LUTHER CARE CENTER,1401 EAST 100TH STREET,BLOOMINGTON,MN,55425,27,HENNEPIN,952-888-7751,952-888-5465,MS MACKENZIE CHRISTOPHER,LIMITED LIABILITY COMPANY,0,0,0,137,0,0,0,0,,,,,0,,,,0,0,137,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8234711515152,-93.2557910707071
30,255,TERRACE AT CRYSTAL LLC,3245 VERA CRUZ AVENUE NORTH,CRYSTAL,MN,55422,27,HENNEPIN,763-971-6300,763-971-6328,ZENA MERCHANT,LIMITED LIABILITY COMPANY,0,0,0,130,0,0,0,0,,,,,0,,,,0,0,130,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0436907,-93.3500165
31,216,JONES HARRISON RESIDENCE,3700 CEDAR LAKE AVENUE,MINNEAPOLIS,MN,55416,27,HENNEPIN,612-920-2030,612-225-1131,MS. CHANTAL PETERSON,NONPROFIT CORPORATION,0,0,0,130,0,0,0,0,,,,,0,,,,0,0,130,0,0,0,,,,,,,,,,,,,,,,N,N,,44.95369,-93.326364
32,160,REDEEMER RESIDENCE INC,625 WEST 31ST STREET,MINNEAPOLIS,MN,55408,27,HENNEPIN,612-827-2555,612-827-0450,MR. DAN COLGAN,CHURCH RELATED,0,0,0,125,0,0,0,0,,,,,0,,,,0,0,125,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9459904,-93.2878204
35,175,THE VILLA AT BRYN MAWR,275 PENN AVENUE NORTH,MINNEAPOLIS,MN,55405,27,HENNEPIN,612-377-4723,612-377-0294,MS. MADELINE KURVERS,LIMITED LIABILITY COMPANY,0,0,0,120,0,0,0,0,,,,,0,,,,0,0,120,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9781671,-93.3083564
38,872,HOPKINS HEALTH SERVICES,725 2ND AVENUE SOUTH,HOPKINS,MN,55343,27,HENNEPIN,952-935-3338,952-935-0032,MS. MARY BOYDE,LIMITED LIABILITY COMPANY,0,0,0,118,0,0,0,0,,,,,0,,,,0,0,118,0,0,0,,,,,,,,,,,,,,,,N,N,,44.912209,-93.403308
39,496,SHIRLEY CHAPMAN SHOLOM HOME E,740 KAY AVENUE,ST PAUL,MN,55102,62,RAMSEY,651-328-2000,651-328-2070,ANDREA KREBS,NONPROFIT CORPORATION,0,0,0,118,0,0,0,0,,,,,0,,,,0,0,118,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9190210259583,-93.1373150971928
40,538,CERENITY CARE CTR ON HUMBOLDT,512 HUMBOLDT AVENUE,ST PAUL,MN,55107,62,RAMSEY,651-220-1700,651-220-1755,MS. KRISTA SIDDIQUI,NONPROFIT CORPORATION,0,0,0,117,0,0,0,0,,,,,0,,,,0,0,117,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9303764,-93.083257281867
41,913,THE EMERALDS AT ST PAUL LLC,420 MARSHALL AVENUE,ST PAUL,MN,55102,62,RAMSEY,651-224-2368,651-224-0140,MICHAELA HAGENOW,LIMITED LIABILITY COMPANY,0,0,0,116,0,0,0,0,,,,,0,,,,0,0,116,0,0,0,,,,,,,,,,,,,,,,N,N,,44.94818575,-93.117757544177
42,520,MAPLEWOOD CARE CENTER,1900 SHERREN AVENUE,MAPLEWOOD,MN,55109,62,RAMSEY,651-770-1365,651-770-1646,MR JIM SELVY,NONPROFIT CORPORATION,0,0,0,115,0,0,0,0,,,,,0,,,,0,0,115,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0109156,-93.0199182074125
46,144,TEXAS TERRACE A VILLA CENTER,7900 WEST 28TH STREET,ST. LOUIS PARK,MN,55426,27,HENNEPIN,952-920-8380,952-920-7866,MS. PAT VOELKER,LIMITED LIABILITY COMPANY,0,0,0,112,0,0,0,0,,,,,0,,,,0,0,112,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9534388,-93.3801535
47,253,RICHFIELD A VILLA CENTER,7727 PORTLAND AVENUE SOUTH,RICHFIELD,MN,55423,27,HENNEPIN,612-861-1691,612-861-0186,MS. JOANN BUYTENDORP,LIMITED LIABILITY COMPANY,0,0,0,112,0,0,0,0,,,,,0,,,,0,0,112,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8633995306123,-93.2680135918367
54,727,AUGUSTANA CHAPEL VIEW CARE CTR,615 MINNETONKA MILLS ROAD,HOPKINS,MN,55343,27,HENNEPIN,952-938-2761,952-938-4092,MS. PAULA SPARLING,NONPROFIT CORPORATION,0,0,0,108,0,0,0,0,,,,,0,,,,0,0,108,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9305695652174,-93.4073216956522
55,480,GALTIER A VILLA CENTER,445 GALTIER STREET,ST PAUL,MN,55103,62,RAMSEY,651-224-1848,651-224-9613,MS. STEPHANIE QUAM,LIMITED LIABILITY COMPANY,0,0,0,107,0,0,0,0,,,,,0,,,,0,0,107,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9812523,-93.111025
59,940,BENEDICTINE HLTH CTR INNSBRUCK,1101 BLACK OAK DRIVE,NEW BRIGHTON,MN,55112,62,RAMSEY,651-633-1686,651-633-5267,MR. REID HEWITT,CHURCH RELATED,0,0,0,105,0,0,0,0,,,,,0,,,,0,0,105,0,0,0,,,,,,,,,,,,,,,,N,N,,45.068109,-93.223619
62,112,BROOKVIEW A VILLA CENTER,7505 COUNTRY CLUB DRIVE,GOLDEN VALLEY,MN,55427,27,HENNEPIN,763-450-6900,763-540-0015,MS. ASHLEY REDFERN,LIMITED LIABILITY COMPANY,0,0,0,104,0,0,0,0,,,,,0,,,,0,0,104,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9853322424242,-93.3754512828283
63,271,LAKE MINNETONKA SHORES,4527 SHORELINE DRIVE,SPRING PARK,MN,55384,27,HENNEPIN,952-471-4000,952-471-4200,MS. LYDIA BUETOW,NONPROFIT CORPORATION,0,0,0,104,0,0,0,0,,,,,0,,,,0,0,104,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9361500662562,-93.6394907991107
69,278,THE VILLA AT ST LOUIS PARK,7500 WEST 22ND STREET,ST. LOUIS PARK,MN,55426,27,HENNEPIN,952-641-9202,952-546-7164,MS. LYNN HICKEY,LIMITED LIABILITY COMPANY,0,0,0,100,0,0,0,0,,,,,0,,,,0,0,100,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9624214,-93.375334
70,114,NEW BRIGHTON A VILLA CENTER,825 1ST AVENUE NW,NEW BRIGHTON,MN,55112,62,RAMSEY,651-633-7875,651-628-9335,MS. KATHERINE HOLLAND,LIMITED LIABILITY COMPANY,0,0,0,99,0,0,0,0,,,,,0,,,,0,0,99,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0631135796471,-93.1879766444867
72,189,PRESBYTERIAN HOMES BLOOMINGTON,9889 PENN AVENUE SOUTH,BLOOMINGTON,MN,55431,27,HENNEPIN,952-948-3000,952-948-3002,MR LUKE JACKSON,NONPROFIT CORPORATION,0,0,0,98,0,0,0,0,,,,,0,,,,0,0,98,0,0,0,,,,,,,,,,,,,,,,N,N,,44.8421824,-93.3088504
74,226,MARANATHA CARE CENTER,5409 69TH AVENUE NORTH,BROOKLYN CENTER,MN,55429,27,HENNEPIN,763-549-9600,763-549-9636,MS. AMY FLOY,NONPROFIT CORPORATION,0,0,0,97,0,0,0,0,,,,,0,,,,0,0,97,0,0,0,,,,,,,,,,,,,,,,N,N,,45.08016,-93.350602520202
77,890,GOOD SAM SPECIALTY CARE COMM,3815 WEST BROADWAY AVENUE,ROBBINSDALE,MN,55422,27,HENNEPIN,612-332-4262,612-673-6270,MS JULIE ORGAN,NONPROFIT CORPORATION,0,0,0,96,0,0,0,0,,,,,0,,,,0,0,96,0,0,0,,,,,,,,,,,,,,,,N,N,,45.0245793555366,-93.3316111795456
79,960,BENEDICTINE HEALTH CTR OF MPLS,618 EAST 17TH STREET,MINNEAPOLIS,MN,55404,27,HENNEPIN,612-879-2800,612-879-2864,MR. STEPHEN JOBE,NONPROFIT CORPORATION,0,0,0,95,0,0,0,0,,,,,0,,,,0,0,95,0,0,0,,,,,,,,,,,,,,,,N,N,,44.9663518367347,-93.2670783877551
